modelo,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,accuracy_train,accuracy_test,brecha_train_test
Clasificación de transacciones (Hold-Out),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Clasificación de transacciones (CV agrupada),0.9967213542106956,0.9857878354668248,0.9770904988894115,0.9767456272063623,0.9968045639110551,,,
Perfil financiero (Hold-Out),0.884,0.8887937960881738,0.8936514984194209,0.8894827264831755,0.8851771315372573,0.9093333333333333,0.884,0.02533333333333332
Perfil financiero (Validación Cruzada),0.9,0.8990890975907174,0.9120975675596951,0.903089273985948,0.8995727207226885,,,
